SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Y or No),BRTE neighbors ,Emergence census 2 date,Emerged (Y or No),Final census date,Seeds (Y or No),Seeds produced,Total plant dry mass (g),Notes (Herbivore damage? Disease?),
GreenCanyon,W,control,0.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,0.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,0.6,09/09/20,12/11/2020,N,,3/22/2021,Y,,,,,,
GreenCanyon,W,control,0.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,1,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,1.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,1.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,1.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,1.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,2.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,2.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,2.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,2.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,W,control,3,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,3.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,3.4,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,W,control,3.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,3.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,4.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,4.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,4.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,4.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,5,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,5.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,5.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,5.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,5.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,W,control,6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,6.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,6.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,6.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,6.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,7,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,7.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,7.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,7.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,7.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,8.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,8.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,8.6,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,W,control,8.8,09/09/20,12/11/2020,Y,,3/22/2021,N,,,,,,
GreenCanyon,W,control,9,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,9.2,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,9.4,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,9.6,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,9.8,09/09/20,12/11/2020,N,,3/22/2021,N,,,,,,
GreenCanyon,W,control,10,09/09/20,12/11/2020,Y,,3/22/2021,N,,Y,3,0,no plant in bag,
GreenCanyon,S,control,0.2,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,0.4,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,0.6,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
GreenCanyon,S,control,0.8,09/09/20,12/11/2020,missing,,3/22/2021,missing,,,,,*no toothpick,
